v2_id,legacy_wp_id,status,name,address,stored_postal_code,stored_city_name,derived_postal_code,derived_city_name,latitude,longitude,geography,classification,issues,legacy_published_at
6440,19896,published,"Sandwicherie et kebab","21 Porte Carrée 35140 St Aubin du Cormier",,,35140,"St Aubin du Cormier",48.2610847,-1.3987224,Saint-Aubin-du-Cormier,CONFLICT,city_geography_mismatch,"2017-08-21 22:41:50"
6441,19897,published,"Sos Pizza","90 avenue Lucien Boeuf 83370 St Aygulf",,,83370,"St Aygulf",43.3836031,6.7218468,Saint-Aygulf,CONFLICT,city_geography_mismatch,"2017-08-21 22:41:50"
6442,19898,published,"Basak kebab","montée Château 69720 St Bonnet de Mure",,,69720,"St Bonnet de Mure",45.6902980,5.0282720,Saint-Bonnet-de-Mure,CONFLICT,city_geography_mismatch,"2017-08-21 22:41:50"
6445,19901,published,"Damla Kebab","8 Place de Martray 22000 St Brieuc",,,22000,"St Brieuc",48.5146105,-2.7637742,Saint-Brieuc,CONFLICT,city_geography_mismatch,"2017-08-21 22:41:50"
6451,19907,published,"Royal kébab","1 Place Haute du Chai 22000 St Brieuc",,,22000,"St Brieuc",48.5151879,-2.7622810,Saint-Brieuc,CONFLICT,city_geography_mismatch,"2017-08-21 22:41:53"
6455,19911,published,"Le Bertlows","27 Rue De L Abbé Josselin 22000 St Brieuc",,,22000,"St Brieuc",48.5174040,-2.7536190,Saint-Brieuc,CONFLICT,city_geography_mismatch,"2017-08-21 22:41:53"
6460,19916,published,Nazar,"1 Rue Sadi carnot 72120 St Calais",,,72120,"St Calais",47.9200717,0.7454624,Saint-Calais,CONFLICT,city_geography_mismatch,"2017-08-21 22:41:53"
6464,19920,published,"Ceylan kebab","21 cours a. de montgolfier 42400 St Chamond",,,42400,"St Chamond",45.4715502,4.5105114,Saint-Chamond,CONFLICT,city_geography_mismatch,"2017-08-21 22:41:53"
2462,15901,reported,Miam's,,,,,,,,Grenoble,INVALID,,"2017-08-21 22:33:11"
7509,21350,published,"Les deux rives : Restaurant créteil",,,,,,,,,INVALID,,"2018-03-06 22:40:08"
7544,21641,published,"Sushi Time's",,,,,,,,Argenteuil,INVALID,,"2020-10-31 18:51:57"
3183,16622,published,"Turquoise Kebab","48 rue de Masséna 59800 Lille",,,59800,Lille,50.6324637,3.0547630,Lille,COMPLETE_WITH_GPS,placeholder,"2017-08-21 22:34:41"
3200,16639,published,"La Turka","42 Rue Masséna 59800 Lille",,,59800,Lille,50.6325388,3.0548609,Lille,COMPLETE_WITH_GPS,placeholder,"2017-08-21 22:34:44"
3215,16654,published,"Le Pintcho","29 Rue Masséna 59800 Lille",,,59800,Lille,50.6328766,3.0551655,Lille,COMPLETE_WITH_GPS,placeholder,"2017-08-21 22:34:46"
3224,16663,published,"Le Bosphore","53 rue masséna 59000 Lille",,,59000,Lille,50.6324598,3.0550585,Lille,COMPLETE_WITH_GPS,placeholder,"2017-08-21 22:34:46"
6350,19806,published,"Aux Caprices","10 Rue d'Iéna, 67600 Sélestat, France",,,,,48.2570308,7.4526774,Selestat,PARTIAL_WITH_GPS,placeholder,"2017-08-21 22:41:37"
6465,19921,published,"Istanbul Kebab","7 rue des trois frères 42400 St Chamond",,,42400,"St Chamond",45.4738073,4.5091148,Saint-Chamond,CONFLICT,city_geography_mismatch,"2017-08-21 22:41:53"
6469,19925,published,Meram,"14 Place Germain Morel 42400 St Chamond",,,42400,"St Chamond",45.4723185,4.5100849,Saint-Chamond,CONFLICT,city_geography_mismatch,"2017-08-21 22:41:55"
6476,19932,published,"Le pizza kebab","1277 Avenue Trevoux 01000 St Denis lès Bourg",,,01000,"St Denis lès Bourg",46.1996948,5.1909306,Saint-Denis-les-Bourg,CONFLICT,city_geography_mismatch,"2017-08-21 22:41:55"
6486,19942,published,"Chez Kuky 2","10 rue d'Amérique 88100 St Dié des Vosges",,,88100,"St Dié des Vosges",48.2890000,6.9484770,Saint-Die-des-Vosges,CONFLICT,city_geography_mismatch,"2017-08-21 22:41:57"
6490,19946,published,Ponbou,"16 rue de st robert 38120 St Egrève",,,38120,"St Egrève",45.2346864,5.6776601,Saint-Egreve,CONFLICT,city_geography_mismatch,"2017-08-21 22:41:57"
6502,19958,published,"Oh' bon kebab","14 place aristide briand 42330 St Galmier",,,42330,"St Galmier",45.5907703,4.3177155,Saint-Galmier,CONFLICT,city_geography_mismatch,"2017-08-21 22:41:59"
6503,19959,published,"Le kebab de saint gaudens","1 Rue Pradet 31800 St Gaudens",,,31800,"St Gaudens",43.1094743,0.7244019,Saint-Gaudens,CONFLICT,city_geography_mismatch,"2017-08-21 22:41:59"
6506,19962,published,"Euro kebab","17 place du marché 71330 St germain du bois",,,71330,"St germain du bois",46.7524627,5.2420904,Saint-germain-du-bois,CONFLICT,city_geography_mismatch,"2017-08-21 22:41:59"
6508,19964,published,"Kebab express pro","15 Route Epernay 51510 St Gibrien",,,51510,"St Gibrien",48.9709763,4.2981806,Saint-Gibrien,CONFLICT,city_geography_mismatch,"2017-08-21 22:41:59"
6513,19969,published,L'Oriental,"6 rue des Clos Amis 44800 St Herblain",,,44800,"St Herblain",47.2109443,-1.6570407,Saint-Herblain,CONFLICT,city_geography_mismatch,"2017-08-21 22:42:01"
6517,19973,published,"Urfa kebab","Rue de la mayenne centre ccial la harliere 44800 St Herblain",,,44800,"St Herblain",47.2141829,-1.6145715,Saint-Herblain,CONFLICT,city_geography_mismatch,"2017-08-21 22:42:01"
6518,19974,published,"Sen kebab","Centre commercial Harlière 44800 St Herblain",,,44800,"St Herblain",47.2241730,-1.6315120,Saint-Herblain,CONFLICT,city_geography_mismatch,"2017-08-21 22:42:01"
6520,19976,published,"Le Babylone","7 place de la république 42650 St Jean Bonnefonds",,,42650,"St Jean Bonnefonds",45.4514525,4.4475210,Saint-Jean-Bonnefonds,CONFLICT,city_geography_mismatch,"2017-08-21 22:42:01"
6523,19979,published,"Kebab Pacha","11 passage de l'hotel de ville 45800 St Jean de Braye",,,45800,"St Jean de Braye",47.9117062,1.9699770,Saint-Jean-de-Braye,CONFLICT,city_geography_mismatch,"2017-08-21 22:42:01"
6536,19992,published,"Le kebab bosphore","152 Route Vignes 74160 St Julien en Genevois",,,74160,"St Julien en Genevois",46.1387262,6.0701905,Saint-Julien-en-Genevois,CONFLICT,city_geography_mismatch,"2017-08-21 22:42:04"
6539,19995,published,"Kebab l'oasis","4 Rue Paris 60130 St Just en Chaussée",,,60130,"St Just en Chaussée",49.5063157,2.4330155,Saint-Just-en-Chaussee,CONFLICT,city_geography_mismatch,"2017-08-21 22:42:04"
6541,19997,published,"Ali Baba","61 Avenue Mellet-Mandard 42170 St just st rambert",,,42170,"St just st rambert",45.5063803,4.2635998,Saint-Just-Saint-Rambert,CONFLICT,city_geography_mismatch,"2017-08-21 22:42:06"
6543,19999,published,Nicolas,"6 bl de la marine 66250 St laurent de la salanque",,,66250,"St laurent de la salanque",42.7730027,2.9919135,Saint-laurent-de-la-salanque,CONFLICT,city_geography_mismatch,"2017-08-21 22:42:06"
6544,20000,published,L'Oasis,"4 place de la concorde 66250 St laurent de la salanque",,,66250,"St laurent de la salanque",42.7733475,2.9900004,Saint-laurent-de-la-salanque,CONFLICT,city_geography_mismatch,"2017-08-21 22:42:06"
6546,20002,published,"St Leger Kebab","12 Place du Capitaine Giraud 71510 St Leger Sur Dheune",,,71510,"St Leger Sur Dheune",46.8458197,4.6347744,Saint-Leger-Sur-Dheune,CONFLICT,city_geography_mismatch,"2017-08-21 22:42:06"
6551,20007,published,Efes,"13 rue Villedieu 50000 St Lô",,,50000,"St Lô",49.1140543,-1.0985256,Saint-Lo,CONFLICT,city_geography_mismatch,"2017-08-21 22:42:06"
6553,20009,published,"Antalia kebab","21 Rue Jeanne d'Arc 49450 St Macaire en Mauges",,,49450,"St Macaire en Mauges",47.1226465,-0.9955301,Saint-Macaire-en-Mauges,CONFLICT,city_geography_mismatch,"2017-08-21 22:42:06"
6554,20010,published,"Le Royal Kebab","2 route du champ du bourg 33125 St Magne",,,33125,"St Magne",44.5247774,-0.6570676,Saint-Magne,CONFLICT,city_geography_mismatch,"2017-08-21 22:42:06"
6556,20012,published,"Chiche Kebbab","3 place du marché aux légumes 35400 St Malo",,,35400,"St Malo",48.6480131,-2.0254705,Saint-Malo,CONFLICT,city_geography_mismatch,"2017-08-21 22:42:08"
